Accident_ID,Date,Time,Location,Weather_Condition,Road_Surface,Light_Condition,Number_of_Vehicles,Number_of_Casualties,Accident_Severity,Vehicle_Type,Driver_Age,Driver_Gender,Speed_Limit,Alcohol_Involved,Cause_of_Accident
32,2025-03-27,10:13:04,North Jesusshire,Clear,Wet,Daylight,1,1,Serious,Motorbike,45,Male,30,Yes,Bad Weather
33,2025-03-24,04:28:15,Woodborough,Stormy,Snowy,Dark with street lights,4,3,Fatal,Van,74,Male,50,Yes,Overspeeding
34,2025-01-07,15:31:08,Lake Alyssaview,Clear,Snowy,Dark with street lights,1,2,Fatal,Bicycle,48,Female,50,No,Drunk Driving
35,2024-08-20,08:39:25,Pamelamouth,Fog,Icy,Daylight,2,5,Minor,Van,80,Male,30,Yes,Other
36,2024-12-31,21:50:57,Port Matthew,Clear,Wet,Daylight,5,2,Fatal,Motorbike,50,Female,50,No,Drunk Driving
37,2024-11-12,18:35:28,Stevenville,Fog,Dry,Dark with street lights,4,1,Serious,Truck,64,Female,30,No,Overspeeding
38,2024-09-26,19:38:43,Daniellebury,Fog,Snowy,Dark with street lights,2,1,Serious,Van,31,Male,90,No,Bad Weather
39,2025-01-28,13:34:46,Angelashire,Windy,Wet,Dark without lights,2,0,Fatal,Motorbike,43,Male,70,No,Bad Weather
40,2024-10-10,03:51:32,Williamsview,Stormy,Icy,Dark with street lights,1,2,Serious,Bus,66,Female,90,Yes,Other
41,2024-04-20,03:37:48,Port Daniel,Rainy,Icy,Dark with street lights,4,5,Serious,Car,44,Male,70,No,Other
42,2024-03-15,15:49:51,Rickyport,Fog,Wet,Dark with street lights,1,5,Serious,Bus,31,Female,110,Yes,Overspeeding
43,2024-04-02,10:43:11,East Anthony,Stormy,Snowy,Dark with street lights,3,5,Serious,Bus,41,Female,30,Yes,Overspeeding
44,2023-12-04,00:27:05,Lake Ginabury,Fog,Wet,Dark with street lights,1,1,Serious,Motorbike,33,Female,110,No,Mechanical Failure
45,2024-04-03,06:30:20,Johnbury,Windy,Wet,Dark without lights,2,3,Serious,Van,54,Female,50,Yes,Bad Weather
46,2024-01-17,13:01:06,South Davidburgh,Rainy,Icy,Dark without lights,4,5,Minor,Bus,54,Male,90,Yes,Overspeeding
47,2023-10-16,23:50:52,South Nicolasmouth,Windy,Snowy,Dark without lights,1,2,Minor,Bicycle,51,Male,30,No,Bad Weather
48,2024-06-11,12:11:09,West Morganville,Windy,Dry,Dark with street lights,3,4,Minor,Bicycle,57,Male,50,No,Drunk Driving
49,2023-08-22,08:50:06,East Kimberlyhaven,Windy,Dry,Dark without lights,2,1,Fatal,Motorbike,41,Male,30,No,Bad Weather
50,2023-05-11,01:28:10,West Jennytown,Snow,Wet,Dark without lights,4,4,Minor,Bus,48,Female,30,No,Bad Weather
51,2024-08-03,07:05:06,Nicolestad,Stormy,Wet,Dark with street lights,3,0,Minor,Motorbike,67,Female,110,No,Distracted Driving
52,2023-05-08,12:00:51,Port Jeffreymouth,Rainy,Icy,Daylight,2,5,Serious,Truck,51,Male,50,Yes,Overspeeding
53,2024-01-15,00:56:24,Marilynburgh,Clear,Dry,Daylight,5,4,Fatal,Car,42,Male,70,Yes,Drunk Driving
54,2024-02-02,00:57:52,South Louis,Rainy,Snowy,Dark with street lights,2,0,Serious,Car,60,Female,90,No,Other
55,2023-05-14,08:01:10,Hawkinsbury,Rainy,Snowy,Daylight,4,2,Serious,Bus,45,Female,30,Yes,Drunk Driving
56,2025-03-19,18:55:45,New Arthur,Rainy,Icy,Dark without lights,4,1,Fatal,Truck,56,Female,110,No,Bad Weather
57,2023-10-31,18:23:27,South Maryberg,Clear,Wet,Dark with street lights,4,1,Minor,Motorbike,53,Male,50,No,Mechanical Failure
58,2023-12-28,18:44:29,East Melissaville,Windy,Icy,Dark with street lights,5,3,Minor,Car,27,Male,70,Yes,Mechanical Failure
59,2023-09-26,06:49:41,Leetown,Clear,Snowy,Dark with street lights,3,0,Fatal,Bus,20,Female,110,Yes,Other
60,2023-08-24,12:21:29,Donnatown,Clear,Snowy,Dark without lights,1,5,Fatal,Van,50,Female,110,No,Distracted Driving
61,2025-04-23,21:01:42,Melindaview,Fog,Wet,Dark with street lights,1,5,Fatal,Motorbike,57,Female,30,Yes,Distracted Driving
62,2023-06-20,08:55:50,Lake Robertshire,Fog,Snowy,Daylight,1,0,Fatal,Bus,26,Male,30,No,Mechanical Failure
63,2024-03-30,04:26:42,Rebeccaton,Windy,Wet,Dark with street lights,4,2,Fatal,Truck,53,Female,30,No,Mechanical Failure
64,2024-10-22,19:33:07,West Stephanieborough,Clear,Wet,Dark without lights,1,2,Fatal,Motorbike,59,Female,90,No,Mechanical Failure
65,2023-08-31,10:31:08,Meganfurt,Rainy,Icy,Dark with street lights,5,0,Serious,Motorbike,78,Female,110,Yes,Overspeeding
66,2024-05-14,08:54:31,Suzannemouth,Fog,Icy,Daylight,3,1,Minor,Bus,66,Male,30,Yes,Overspeeding
67,2023-12-09,09:41:35,Port Michael,Clear,Dry,Dark with street lights,4,5,Minor,Bicycle,37,Male,70,Yes,Other
68,2024-06-19,01:09:04,North David,Windy,Snowy,Daylight,2,0,Serious,Bus,63,Female,90,Yes,Overspeeding
69,2023-07-28,03:30:22,Donnaside,Windy,Wet,Daylight,3,0,Minor,Bus,74,Female,50,Yes,Distracted Driving
70,2023-07-09,20:38:22,Ronaldborough,Stormy,Icy,Dark without lights,5,1,Fatal,Bus,72,Male,30,Yes,Mechanical Failure
71,2023-06-15,00:52:41,East Parker,Fog,Icy,Daylight,5,0,Fatal,Bicycle,41,Female,90,No,Overspeeding
72,2024-11-05,19:58:13,Barretthaven,Fog,Dry,Dark without lights,4,0,Serious,Truck,39,Male,50,No,Bad Weather
73,2024-09-25,18:44:05,Clarkberg,Windy,Wet,Dark without lights,4,1,Serious,Motorbike,75,Male,30,No,Bad Weather
74,2023-05-16,12:37:07,New Donald,Clear,Icy,Dark with street lights,2,4,Fatal,Bus,27,Male,110,Yes,Other
75,2023-07-23,20:22:33,North Margaretland,Clear,Dry,Daylight,2,5,Fatal,Bicycle,47,Female,110,No,Mechanical Failure
76,2025-01-05,14:25:53,North Emilyview,Rainy,Wet,Daylight,1,3,Serious,Car,56,Male,30,Yes,Mechanical Failure
77,2025-01-01,10:09:09,East Jasonfort,Rainy,Dry,Dark without lights,3,3,Fatal,Car,47,Female,90,Yes,Other
78,2023-08-14,00:01:16,East Sonya,Rainy,Snowy,Dark with street lights,5,3,Fatal,Van,72,Male,90,No,Bad Weather
79,2024-01-04,03:25:30,Henrymouth,Rainy,Dry,Dark without lights,2,1,Fatal,Car,51,Male,90,No,Mechanical Failure
80,2024-11-04,11:51:15,Parkershire,Snow,Icy,Daylight,5,3,Serious,Bus,19,Female,90,Yes,Drunk Driving
81,2025-02-12,14:32:51,Port Meganton,Windy,Snowy,Daylight,5,4,Fatal,Motorbike,74,Female,50,Yes,Bad Weather
82,2024-08-27,22:01:06,Kimborough,Clear,Icy,Dark without lights,3,0,Minor,Bus,26,Female,110,No,Distracted Driving
83,2024-06-10,03:12:34,West Brittany,Snow,Wet,Dark with street lights,1,4,Minor,Bicycle,41,Male,50,Yes,Drunk Driving
84,2024-10-28,00:56:51,Keithton,Rainy,Snowy,Daylight,4,0,Serious,Bus,57,Male,70,Yes,Other
85,2023-09-01,10:49:20,North Tracey,Rainy,Snowy,Dark without lights,3,5,Fatal,Motorbike,80,Male,30,No,Mechanical Failure
86,2023-11-21,02:27:10,Robertsonberg,Clear,Icy,Daylight,3,3,Fatal,Van,35,Female,110,No,Other
87,2025-04-22,19:59:08,Bowmanburgh,Clear,Dry,Dark without lights,2,0,Minor,Van,61,Female,70,Yes,Drunk Driving
88,2024-04-29,06:38:07,Palmerborough,Snow,Dry,Dark without lights,5,3,Minor,Motorbike,24,Male,90,Yes,Distracted Driving
89,2024-12-02,07:22:08,New Taraport,Clear,Icy,Dark with street lights,4,5,Minor,Van,62,Female,90,No,Bad Weather
90,2024-01-15,19:11:25,Williamsview,Stormy,Dry,Dark with street lights,3,4,Minor,Bus,73,Female,50,No,Overspeeding
91,2023-04-30,14:20:19,Whitneyville,Rainy,Wet,Daylight,5,3,Serious,Truck,27,Male,70,No,Bad Weather
92,2025-02-02,18:52:09,South Susanland,Rainy,Dry,Dark without lights,2,3,Fatal,Motorbike,60,Male,30,No,Bad Weather
93,2025-04-21,19:57:21,Stacyberg,Stormy,Icy,Dark without lights,4,4,Minor,Van,74,Male,30,No,Mechanical Failure
94,2024-06-15,10:38:13,Smithville,Rainy,Dry,Daylight,2,4,Fatal,Car,63,Female,110,No,Mechanical Failure
95,2024-05-18,17:59:20,East Emilyberg,Clear,Dry,Dark without lights,1,3,Serious,Motorbike,66,Male,110,Yes,Mechanical Failure
96,2024-11-28,05:50:36,Port Danieltown,Windy,Snowy,Dark without lights,2,0,Minor,Motorbike,77,Male,30,Yes,Distracted Driving
97,2024-04-07,13:02:44,East Samuelton,Fog,Wet,Dark without lights,4,2,Minor,Van,51,Female,110,No,Other
98,2025-03-29,10:30:06,Port Robert,Clear,Snowy,Daylight,1,4,Minor,Van,56,Female,50,No,Overspeeding
99,2024-05-19,10:58:11,North Annafurt,Snow,Snowy,Daylight,5,1,Serious,Motorbike,25,Male,90,No,Distracted Driving
100,2024-03-05,00:17:57,Branditon,Clear,Snowy,Dark without lights,3,4,Fatal,Bicycle,78,Male,70,No,Distracted Driving
101,2024-04-18,13:20:07,Scottstad,Stormy,Dry,Dark with street lights,4,5,Serious,Motorbike,45,Male,90,Yes,Bad Weather
102,2024-09-19,02:55:56,Taylorfurt,Snow,Icy,Daylight,5,5,Serious,Bicycle,80,Female,50,No,Overspeeding
103,2024-02-24,02:35:50,Riosmouth,Rainy,Dry,Daylight,3,0,Fatal,Bus,33,Female,90,No,Mechanical Failure
104,2023-10-28,16:58:12,Breannafurt,Fog,Wet,Daylight,5,2,Serious,Motorbike,76,Male,50,Yes,Drunk Driving
105,2024-10-09,14:18:19,South Juan,Stormy,Dry,Dark with street lights,4,4,Fatal,Car,50,Female,110,Yes,Drunk Driving
106,2025-03-07,09:49:10,Port Carlos,Clear,Wet,Dark with street lights,1,3,Fatal,Bus,32,Female,50,Yes,Other
107,2024-03-15,22:55:42,New William,Stormy,Wet,Dark without lights,3,3,Serious,Car,70,Male,70,No,Drunk Driving
108,2024-10-31,03:46:18,West Lindsay,Rainy,Wet,Dark with street lights,4,5,Minor,Van,61,Male,110,No,Other
109,2023-08-23,02:58:21,Nataliestad,Snow,Dry,Dark without lights,1,4,Minor,Van,48,Female,50,Yes,Bad Weather
110,2024-06-21,13:08:46,Abbotthaven,Snow,Icy,Dark without lights,2,1,Serious,Van,21,Male,50,No,Overspeeding
111,2024-03-08,11:20:40,South Kari,Windy,Snowy,Daylight,2,4,Minor,Truck,80,Male,50,Yes,Overspeeding
112,2025-03-27,05:48:43,Carterbury,Stormy,Wet,Dark without lights,4,2,Serious,Bicycle,64,Female,70,No,Mechanical Failure
113,2023-12-06,16:02:14,New Ericamouth,Rainy,Dry,Daylight,2,1,Fatal,Motorbike,63,Male,30,Yes,Drunk Driving
114,2023-06-23,06:58:06,Beasleyview,Snow,Icy,Dark without lights,1,2,Fatal,Bus,68,Male,110,No,Overspeeding
115,2025-01-31,09:25:09,Marcfort,Snow,Wet,Daylight,2,1,Fatal,Van,55,Male,30,No,Drunk Driving
116,2024-01-01,10:09:49,West Natalie,Rainy,Icy,Dark with street lights,2,0,Fatal,Bus,79,Female,30,No,Overspeeding
117,2024-09-05,08:15:28,East Peterchester,Windy,Wet,Dark without lights,4,3,Fatal,Bicycle,35,Male,70,No,Drunk Driving
118,2024-07-22,15:48:17,Lake Carrie,Clear,Dry,Dark without lights,3,5,Minor,Van,67,Male,110,No,Bad Weather
119,2024-12-05,10:48:18,Bradleymouth,Snow,Wet,Dark with street lights,4,5,Minor,Van,18,Male,50,Yes,Bad Weather
120,2024-12-27,18:36:48,Reesehaven,Stormy,Icy,Dark with street lights,2,3,Serious,Motorbike,60,Female,70,Yes,Other
121,2024-08-02,20:33:10,New Willie,Fog,Icy,Daylight,2,5,Serious,Motorbike,47,Male,30,No,Distracted Driving
122,2024-08-11,06:59:31,New Katherine,Fog,Icy,Daylight,4,5,Serious,Truck,18,Male,90,Yes,Drunk Driving
123,2025-02-13,08:23:42,Port Feliciaport,Clear,Icy,Dark with street lights,1,4,Fatal,Motorbike,26,Female,70,Yes,Overspeeding
124,2024-10-11,02:07:44,Moranburgh,Snow,Dry,Dark without lights,5,2,Serious,Bicycle,27,Female,110,Yes,Overspeeding
125,2024-01-01,01:31:50,North Alecburgh,Clear,Wet,Daylight,2,1,Serious,Van,79,Male,110,Yes,Overspeeding
126,2024-04-21,18:34:17,Joanhaven,Clear,Snowy,Dark without lights,4,0,Serious,Motorbike,65,Male,30,Yes,Bad Weather
127,2024-12-25,22:26:06,Lake Ryanbury,Stormy,Wet,Dark without lights,5,5,Serious,Van,30,Male,70,Yes,Mechanical Failure
128,2025-01-05,08:04:39,South Jennifer,Clear,Dry,Daylight,3,3,Fatal,Bus,18,Female,110,Yes,Drunk Driving
129,2023-12-05,21:24:15,West Devin,Rainy,Wet,Daylight,3,2,Fatal,Motorbike,59,Female,50,Yes,Distracted Driving
130,2024-12-29,22:57:28,Port Oscar,Clear,Icy,Dark without lights,4,2,Minor,Bus,58,Male,50,No,Bad Weather
131,2023-05-15,21:59:39,East Jessetown,Snow,Dry,Dark with street lights,1,4,Fatal,Bus,71,Female,110,No,Distracted Driving
132,2023-11-26,01:07:05,Lake Regina,Fog,Icy,Daylight,5,0,Minor,Motorbike,24,Female,110,Yes,Overspeeding
133,2025-01-13,18:51:54,New Ashleyland,Rainy,Icy,Dark with street lights,2,1,Serious,Motorbike,78,Male,110,Yes,Other
134,2025-01-11,00:05:07,South Sarah,Fog,Snowy,Daylight,1,0,Serious,Bus,36,Female,110,Yes,Other
135,2023-06-21,17:46:25,Port Thomas,Fog,Snowy,Dark without lights,1,2,Serious,Motorbike,59,Male,110,No,Mechanical Failure
136,2023-11-01,11:21:20,South Kimberly,Clear,Snowy,Dark without lights,3,2,Serious,Bus,31,Male,50,No,Bad Weather
137,2025-04-17,18:18:55,Patrickhaven,Snow,Icy,Daylight,4,4,Fatal,Car,27,Female,110,Yes,Overspeeding
138,2023-07-26,06:03:57,Rhondamouth,Rainy,Dry,Daylight,4,3,Fatal,Van,55,Female,110,No,Other
139,2024-11-21,19:19:17,Port Patriciabury,Windy,Icy,Dark with street lights,5,5,Fatal,Car,30,Male,30,Yes,Drunk Driving
140,2024-12-20,12:25:43,East Dianahaven,Fog,Snowy,Dark without lights,1,2,Serious,Van,73,Male,90,Yes,Distracted Driving
141,2023-09-24,09:20:05,New Gregorymouth,Windy,Snowy,Daylight,1,1,Minor,Bus,53,Female,50,Yes,Other
142,2025-04-11,06:39:02,East Laura,Clear,Icy,Daylight,5,3,Serious,Motorbike,47,Female,70,No,Other
143,2023-09-21,10:20:26,Johnsonbury,Clear,Snowy,Dark with street lights,5,5,Serious,Motorbike,76,Female,50,Yes,Distracted Driving
144,2025-04-20,07:24:46,Martinezburgh,Fog,Wet,Dark without lights,3,4,Minor,Van,18,Male,70,Yes,Distracted Driving
145,2023-12-03,17:21:01,North Stevenstad,Stormy,Dry,Daylight,4,2,Serious,Van,27,Male,110,Yes,Drunk Driving
146,2024-10-14,17:06:08,Gwendolynmouth,Stormy,Dry,Dark without lights,3,5,Serious,Car,52,Male,50,Yes,Drunk Driving
147,2025-02-21,05:39:38,West Jamesborough,Windy,Dry,Dark with street lights,2,3,Fatal,Motorbike,24,Male,50,No,Distracted Driving
148,2024-06-16,21:55:21,Dianechester,Stormy,Icy,Dark with street lights,1,5,Fatal,Bicycle,78,Male,50,Yes,Bad Weather
149,2024-10-24,22:44:30,Careyville,Clear,Snowy,Dark without lights,1,4,Fatal,Van,76,Male,50,Yes,Drunk Driving
150,2024-06-19,05:00:45,Lake Phillip,Fog,Wet,Dark without lights,4,3,Minor,Motorbike,77,Female,50,Yes,Overspeeding
151,2024-11-25,08:41:09,Jonesbury,Clear,Icy,Dark without lights,5,5,Serious,Bicycle,80,Female,70,Yes,Overspeeding
152,2024-09-20,11:47:44,North Melissaview,Windy,Snowy,Daylight,5,0,Minor,Motorbike,67,Female,110,Yes,Overspeeding
153,2024-01-11,08:46:57,South Veronica,Stormy,Dry,Dark with street lights,4,4,Serious,Motorbike,59,Male,70,No,Distracted Driving
154,2024-10-29,00:31:06,Stephaniefurt,Stormy,Dry,Dark with street lights,4,3,Fatal,Motorbike,53,Female,70,Yes,Distracted Driving
155,2024-10-05,09:03:00,Parkerstad,Clear,Dry,Dark with street lights,3,5,Minor,Motorbike,45,Female,110,No,Distracted Driving
156,2023-05-03,04:04:04,South Marymouth,Rainy,Dry,Daylight,4,0,Minor,Bicycle,65,Male,70,Yes,Bad Weather
157,2024-05-16,04:29:37,Haleyburgh,Clear,Snowy,Dark without lights,4,5,Minor,Motorbike,32,Male,50,Yes,Distracted Driving
158,2024-04-08,07:56:51,Lake Stephen,Stormy,Dry,Dark with street lights,5,5,Fatal,Bus,42,Male,90,Yes,Bad Weather
159,2023-05-22,19:27:53,Jacksonmouth,Stormy,Wet,Dark without lights,2,4,Minor,Van,22,Female,110,Yes,Overspeeding
160,2023-10-01,19:51:59,North Lindsaymouth,Rainy,Snowy,Dark with street lights,5,5,Fatal,Van,48,Female,50,Yes,Other
161,2023-09-08,08:30:22,South Mandymouth,Clear,Icy,Dark with street lights,1,0,Fatal,Car,77,Male,110,Yes,Drunk Driving
162,2024-10-06,02:56:44,East Stephaniechester,Fog,Dry,Daylight,1,2,Fatal,Bicycle,20,Male,110,Yes,Distracted Driving
163,2023-05-10,01:12:42,Lake Leahbury,Stormy,Dry,Dark with street lights,4,1,Fatal,Bus,69,Female,50,No,Mechanical Failure
164,2024-02-08,14:44:55,Danielland,Clear,Icy,Daylight,5,2,Minor,Truck,61,Male,70,No,Mechanical Failure
165,2024-05-19,23:09:28,Lake David,Snow,Dry,Dark with street lights,2,3,Minor,Truck,78,Male,30,Yes,Bad Weather
166,2023-09-01,18:19:50,Espinozahaven,Windy,Dry,Dark with street lights,5,4,Fatal,Van,57,Male,50,Yes,Other
167,2023-06-28,22:26:24,New Thomasland,Snow,Dry,Daylight,4,0,Serious,Motorbike,47,Female,70,No,Other
168,2024-09-25,02:32:11,Contrerasfurt,Stormy,Wet,Dark with street lights,1,2,Fatal,Bus,69,Female,30,Yes,Other
169,2024-11-10,15:29:09,North Linda,Rainy,Wet,Dark without lights,4,4,Serious,Van,19,Female,70,No,Drunk Driving
170,2023-09-21,16:13:02,Port Jeremybury,Windy,Icy,Daylight,3,3,Fatal,Van,75,Male,110,Yes,Bad Weather
171,2024-05-21,10:49:27,North Sean,Rainy,Dry,Daylight,4,2,Fatal,Van,55,Male,110,Yes,Mechanical Failure
172,2024-10-24,02:55:29,New Kyleshire,Clear,Snowy,Dark without lights,1,4,Fatal,Truck,74,Male,70,Yes,Distracted Driving
173,2024-09-25,14:27:26,Lake Johnnyburgh,Windy,Dry,Dark without lights,2,3,Fatal,Bus,33,Female,110,Yes,Mechanical Failure
174,2023-09-11,21:30:18,Kathrynstad,Stormy,Wet,Dark without lights,2,3,Serious,Car,57,Male,90,Yes,Bad Weather
175,2024-05-09,06:08:38,Esteston,Stormy,Dry,Dark without lights,3,3,Fatal,Motorbike,65,Female,90,Yes,Overspeeding
176,2023-10-12,17:15:04,Collierville,Windy,Icy,Daylight,2,2,Serious,Car,49,Female,30,No,Other
177,2025-03-30,00:36:09,Michaelport,Fog,Icy,Dark with street lights,1,4,Fatal,Truck,22,Male,30,Yes,Other
178,2023-12-11,23:42:45,Huynhside,Windy,Dry,Dark with street lights,5,1,Minor,Bicycle,23,Male,70,No,Other
179,2024-11-18,02:22:46,Crawfordfurt,Stormy,Icy,Daylight,3,4,Serious,Truck,37,Female,30,Yes,Overspeeding
180,2024-08-25,03:50:45,Amandamouth,Snow,Wet,Dark with street lights,2,0,Minor,Car,19,Female,30,Yes,Other
181,2024-12-31,17:26:12,Abbottburgh,Snow,Icy,Dark without lights,2,4,Fatal,Van,54,Female,90,Yes,Other
182,2023-08-10,23:15:27,Richardborough,Rainy,Icy,Dark without lights,3,0,Fatal,Truck,54,Male,30,No,Overspeeding
183,2024-08-30,05:51:39,North Daniel,Clear,Wet,Dark without lights,5,1,Serious,Bus,29,Female,30,No,Bad Weather
184,2024-07-03,18:54:46,Jenkinsview,Fog,Snowy,Dark with street lights,4,4,Serious,Van,36,Female,110,No,Drunk Driving
185,2024-06-20,00:06:53,Port Sabrina,Clear,Wet,Dark without lights,4,2,Fatal,Van,78,Male,110,No,Mechanical Failure
186,2024-04-29,17:38:32,North Jeremiahstad,Stormy,Wet,Daylight,2,4,Fatal,Bicycle,80,Male,50,No,Distracted Driving
187,2024-03-14,15:23:20,New Darrell,Stormy,Snowy,Daylight,2,3,Minor,Motorbike,65,Male,50,No,Drunk Driving
188,2024-09-26,18:01:26,South Christianfort,Clear,Wet,Dark with street lights,1,5,Fatal,Motorbike,65,Male,30,No,Distracted Driving
189,2023-06-23,18:42:46,Lake Kimberlymouth,Snow,Icy,Dark without lights,3,4,Minor,Motorbike,61,Male,90,Yes,Distracted Driving
190,2025-03-06,16:51:48,Jessicaton,Snow,Snowy,Dark without lights,5,2,Fatal,Truck,53,Male,30,No,Other
191,2023-06-13,20:43:27,New Edwardstad,Clear,Dry,Dark with street lights,4,4,Minor,Truck,60,Male,50,Yes,Overspeeding
192,2023-12-22,10:43:49,Josephfurt,Snow,Wet,Dark without lights,3,1,Fatal,Motorbike,22,Male,50,Yes,Bad Weather
193,2024-11-29,07:44:26,Lake Christopher,Stormy,Wet,Dark with street lights,3,1,Minor,Car,44,Male,110,Yes,Overspeeding
194,2023-08-19,11:00:31,East Emmaborough,Stormy,Wet,Daylight,1,5,Minor,Motorbike,57,Male,90,Yes,Distracted Driving
195,2023-06-12,09:53:11,Maloneside,Snow,Dry,Dark with street lights,2,2,Minor,Bus,42,Female,110,No,Bad Weather
196,2025-04-04,06:21:13,New Robert,Stormy,Icy,Dark with street lights,1,5,Minor,Bicycle,62,Male,110,Yes,Distracted Driving
197,2023-10-22,19:59:00,Adrienneshire,Clear,Snowy,Dark without lights,2,4,Minor,Truck,36,Male,110,Yes,Mechanical Failure
198,2024-08-07,04:54:01,Mirandaberg,Snow,Icy,Dark with street lights,4,2,Minor,Bus,21,Female,50,No,Bad Weather
199,2025-03-06,11:22:56,West Jamesmouth,Clear,Icy,Dark with street lights,1,4,Serious,Truck,41,Male,110,No,Distracted Driving
200,2024-09-18,09:49:59,Meganchester,Stormy,Wet,Dark with street lights,3,5,Fatal,Bus,39,Female,30,Yes,Other
201,2023-12-05,07:27:02,Leeshire,Fog,Wet,Dark with street lights,3,2,Fatal,Car,42,Male,90,Yes,Bad Weather
202,2024-05-23,11:56:24,New Kiara,Fog,Wet,Dark without lights,4,5,Minor,Bus,53,Female,90,No,Mechanical Failure
203,2024-10-29,02:01:05,Whiteland,Windy,Wet,Dark with street lights,5,1,Minor,Motorbike,42,Female,70,Yes,Distracted Driving
204,2024-09-10,06:09:07,Haashaven,Rainy,Icy,Dark with street lights,5,5,Serious,Car,54,Male,30,No,Bad Weather
205,2024-06-26,16:36:12,Lopezton,Windy,Dry,Dark without lights,1,5,Minor,Van,57,Female,50,Yes,Overspeeding
